preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=284.2,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_varlen_fp8,4wave_varlen_fp8,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_varlen_fp8,59,87.709,326.686,326.686,1732.7,1713.0,1753.0,566.0,575.0,83.0,47.0,9
sample,8wave_varlen_fp8,60,84.399,339.499,339.499,1739.1,1728.0,1751.0,569.1,579.0,83.0,47.0,8
sample,8wave_varlen_fp8,61,83.977,341.206,341.206,1763.2,1756.0,1769.0,582.6,589.0,83.0,47.0,8
sample,8wave_varlen_fp8,62,83.871,341.638,341.638,1775.0,1772.0,1778.0,590.2,595.0,84.0,47.0,8
sample,8wave_varlen_fp8,63,84.075,340.806,340.806,1781.3,1780.0,1783.0,593.6,597.0,84.0,47.0,9
sample,8wave_varlen_fp8,64,90.838,315.435,315.435,1761.0,1704.0,1785.0,584.1,596.0,84.0,47.0,8
sample,8wave_varlen_fp8,65,99.638,287.575,287.575,1623.6,1570.0,1684.0,516.4,547.0,84.0,47.0,10
sample,8wave_varlen_fp8,66,98.858,289.843,289.843,1548.8,1529.0,1563.0,478.1,484.0,84.0,47.0,10
sample,8wave_varlen_fp8,67,96.340,297.418,297.418,1531.6,1528.0,1539.0,468.1,472.0,83.0,47.0,9
sample,8wave_varlen_fp8,68,86.167,332.533,332.533,1606.1,1551.0,1659.0,502.3,530.0,82.0,47.0,9
sample,8wave_varlen_fp8,69,84.090,340.747,340.747,1701.8,1672.0,1728.0,550.5,567.0,82.0,47.0,8
throttle,8wave_varlen_fp8,{"accumulation_counter": null, "hbm_thermal_accumulated": null, "ppt_accumulated": null, "prochot_accumulated": null, "socket_thermal_accumulated": null, "vr_thermal_accumulated": null}
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,4wave_varlen_fp8,0,84.785,337.954,337.954,1482.8,1353.0,1592.0,350.4,443.0,75.0,46.0,9
sample,4wave_varlen_fp8,1,84.445,339.313,339.313,1661.2,1612.0,1701.0,497.8,535.0,75.0,46.0,8
sample,4wave_varlen_fp8,2,84.357,339.670,339.670,1731.8,1710.0,1749.0,559.9,578.0,75.0,46.0,8
sample,4wave_varlen_fp8,3,84.304,339.881,339.881,1762.4,1753.0,1770.0,588.1,597.0,76.0,46.0,8
sample,4wave_varlen_fp8,4,84.469,339.218,339.218,1776.0,1771.0,1779.0,602.0,608.0,77.0,46.0,9
sample,4wave_varlen_fp8,5,84.315,339.838,339.838,1782.1,1781.0,1784.0,608.6,612.0,78.0,47.0,8
sample,4wave_varlen_fp8,6,84.295,339.916,339.916,1785.8,1785.0,1787.0,611.1,614.0,78.0,47.0,8
sample,4wave_varlen_fp8,7,88.657,323.193,323.193,1760.1,1735.0,1788.0,605.4,611.0,79.0,47.0,9
sample,4wave_varlen_fp8,8,97.682,293.333,293.333,1696.4,1629.0,1760.0,569.7,602.0,79.0,47.0,9
sample,4wave_varlen_fp8,9,99.983,286.581,286.581,1582.4,1550.0,1617.0,508.6,526.0,79.0,47.0,10
sample,4wave_varlen_fp8,10,99.943,286.697,286.697,1536.6,1522.0,1549.0,483.8,489.0,79.0,47.0,10
sample,4wave_varlen_fp8,11,88.675,323.128,323.128,1565.9,1526.0,1624.0,495.9,527.0,79.0,47.0,8
sample,4wave_varlen_fp8,12,84.477,339.184,339.184,1684.2,1640.0,1720.0,557.9,579.0,79.0,47.0,9
sample,4wave_varlen_fp8,13,84.353,339.683,339.683,1743.8,1727.0,1757.0,589.4,598.0,80.0,47.0,8
sample,4wave_varlen_fp8,14,88.625,323.309,323.309,1737.9,1719.0,1763.0,593.6,599.0,80.0,47.0,8
sample,4wave_varlen_fp8,15,84.781,337.969,337.969,1761.1,1751.0,1770.0,602.2,608.0,81.0,47.0,8
sample,4wave_varlen_fp8,16,84.380,339.574,339.574,1776.8,1772.0,1780.0,609.2,613.0,81.0,47.0,8
sample,4wave_varlen_fp8,17,84.335,339.755,339.755,1783.9,1782.0,1785.0,612.8,615.0,82.0,47.0,8
sample,4wave_varlen_fp8,18,84.326,339.792,339.792,1787.4,1787.0,1788.0,614.6,617.0,83.0,47.0,8
sample,4wave_varlen_fp8,19,93.305,307.092,307.092,1747.5,1669.0,1789.0,593.8,616.0,83.0,47.0,10
sample,4wave_varlen_fp8,20,100.002,286.527,286.527,1611.3,1571.0,1658.0,523.6,546.0,83.0,47.0,9
sample,4wave_varlen_fp8,21,99.907,286.801,286.801,1548.6,1530.0,1565.0,490.2,498.0,82.0,47.0,10
sample,4wave_varlen_fp8,22,96.739,296.191,296.191,1534.1,1512.0,1553.0,483.9,497.0,82.0,47.0,9
sample,4wave_varlen_fp8,23,84.734,338.155,338.155,1633.8,1564.0,1688.0,537.2,565.0,81.0,47.0,9
sample,4wave_varlen_fp8,24,84.377,339.587,339.587,1722.8,1698.0,1743.0,580.8,593.0,82.0,47.0,8
sample,4wave_varlen_fp8,25,84.398,339.504,339.504,1758.1,1747.0,1768.0,598.9,605.0,82.0,47.0,8
sample,4wave_varlen_fp8,26,84.871,337.611,337.611,1771.4,1769.0,1774.0,605.0,608.0,83.0,47.0,8
sample,4wave_varlen_fp8,27,84.447,339.306,339.306,1779.9,1776.0,1783.0,609.9,614.0,83.0,47.0,9
sample,4wave_varlen_fp8,28,84.556,338.868,338.868,1785.6,1785.0,1786.0,612.0,615.0,84.0,47.0,8
sample,4wave_varlen_fp8,29,84.370,339.616,339.616,1787.0,1787.0,1787.0,614.5,617.0,84.0,47.0,8
sample,4wave_varlen_fp8,30,88.595,323.421,323.421,1776.0,1731.0,1788.0,609.3,616.0,84.0,47.0,9
sample,4wave_varlen_fp8,31,99.839,286.995,286.995,1644.0,1586.0,1712.0,541.3,575.0,84.0,47.0,10
