preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=283.8,processes=0,dpm=perf_determinism
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_32x32,4wave_varlen,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
Use cuda device 0 with 99.2% Free mem : 190GB / 192 GB
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,8wave_32x32,67,174.361,164.370,164.333,1110.0,1110.0,1110.0,395.5,398.0,66.0,47.0,17
sample,8wave_32x32,68,174.316,164.413,164.376,1110.0,1110.0,1110.0,396.1,399.0,66.0,47.0,17
sample,8wave_32x32,69,174.275,164.451,164.414,1110.0,1110.0,1110.0,396.2,398.0,66.0,47.0,17
throttle,8wave_32x32,{"accumulation_counter": null, "hbm_thermal_accumulated": null, "ppt_accumulated": null, "prochot_accumulated": null, "socket_thermal_accumulated": null, "vr_thermal_accumulated": null}
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,4wave_varlen,0,192.507,148.844,148.844,1106.2,1085.0,1110.0,318.8,374.0,62.0,47.0,18
sample,4wave_varlen,1,189.032,151.580,151.580,1101.7,1092.0,1107.0,390.1,406.0,62.0,47.0,19
sample,4wave_varlen,2,188.651,151.886,151.886,1108.8,1108.0,1109.0,403.9,411.0,63.0,47.0,18
sample,4wave_varlen,3,188.262,152.200,152.200,1110.0,1110.0,1110.0,405.6,412.0,63.0,47.0,18
sample,4wave_varlen,4,191.256,149.817,149.817,1099.6,1084.0,1110.0,403.8,410.0,64.0,47.0,19
sample,4wave_varlen,5,188.255,152.205,152.205,1107.4,1104.0,1109.0,405.4,412.0,64.0,47.0,18
sample,4wave_varlen,6,187.863,152.523,152.523,1109.8,1109.0,1110.0,406.5,410.0,64.0,47.0,19
sample,4wave_varlen,7,187.973,152.434,152.434,1110.0,1110.0,1110.0,405.1,412.0,65.0,47.0,18
sample,4wave_varlen,8,192.393,148.931,148.931,1097.3,1078.0,1110.0,403.2,410.0,65.0,48.0,19
sample,4wave_varlen,9,188.265,152.197,152.197,1106.2,1102.0,1109.0,405.8,413.0,65.0,47.0,18
sample,4wave_varlen,10,187.896,152.496,152.496,1109.7,1109.0,1110.0,406.4,412.0,65.0,47.0,18
sample,4wave_varlen,11,187.986,152.423,152.423,1110.0,1110.0,1110.0,406.4,413.0,65.0,48.0,19
sample,4wave_varlen,12,187.932,152.467,152.467,1110.7,1110.0,1111.0,406.0,411.0,66.0,48.0,18
sample,4wave_varlen,13,191.372,149.726,149.726,1100.1,1086.0,1111.0,403.3,410.0,66.0,48.0,19
sample,4wave_varlen,14,188.329,152.145,152.145,1107.9,1106.0,1109.0,405.4,412.0,66.0,48.0,18
sample,4wave_varlen,15,187.896,152.496,152.496,1109.7,1109.0,1110.0,405.2,410.0,66.0,48.0,18
sample,4wave_varlen,16,187.996,152.415,152.415,1110.0,1110.0,1110.0,405.2,411.0,66.0,48.0,19
sample,4wave_varlen,17,187.886,152.504,152.504,1110.0,1110.0,1110.0,406.0,412.0,66.0,48.0,18
sample,4wave_varlen,18,192.319,148.989,148.989,1106.6,1075.0,1111.0,407.2,413.0,66.0,48.0,19
sample,4wave_varlen,19,188.251,152.208,152.208,1096.6,1082.0,1105.0,403.8,412.0,66.0,48.0,18
sample,4wave_varlen,20,187.883,152.506,152.506,1108.3,1106.0,1110.0,406.7,413.0,66.0,48.0,18
sample,4wave_varlen,21,187.840,152.541,152.541,1110.0,1110.0,1110.0,407.9,414.0,66.0,48.0,19
sample,4wave_varlen,22,187.836,152.544,152.544,1110.7,1110.0,1111.0,407.6,412.0,66.0,48.0,18
sample,4wave_varlen,23,187.959,152.445,152.445,1111.0,1111.0,1111.0,406.2,412.0,66.0,48.0,18
sample,4wave_varlen,24,187.865,152.521,152.521,1110.8,1110.0,1111.0,406.8,412.0,66.0,48.0,19
sample,4wave_varlen,25,191.150,149.900,149.900,1107.1,1085.0,1111.0,406.2,410.0,66.0,48.0,18
sample,4wave_varlen,26,188.230,152.225,152.225,1102.2,1092.0,1108.0,403.5,410.0,66.0,48.0,19
sample,4wave_varlen,27,187.811,152.565,152.565,1109.6,1108.0,1110.0,405.5,412.0,66.0,48.0,18
sample,4wave_varlen,28,187.825,152.554,152.554,1110.4,1110.0,1111.0,407.6,413.0,66.0,48.0,18
sample,4wave_varlen,29,187.847,152.536,152.536,1110.3,1110.0,1111.0,407.9,412.0,67.0,48.0,18
sample,4wave_varlen,30,188.022,152.394,152.394,1110.8,1110.0,1111.0,407.3,412.0,67.0,48.0,19
sample,4wave_varlen,31,187.916,152.479,152.479,1110.0,1110.0,1110.0,407.3,414.0,67.0,48.0,18
sample,4wave_varlen,32,187.881,152.508,152.508,1110.0,1110.0,1110.0,408.2,414.0,67.0,48.0,18
sample,4wave_varlen,33,187.891,152.500,152.500,1110.1,1110.0,1111.0,409.0,415.0,67.0,48.0,19
sample,4wave_varlen,34,191.237,149.831,149.831,1100.2,1088.0,1111.0,405.8,412.0,67.0,48.0,18
sample,4wave_varlen,35,188.274,152.190,152.190,1108.2,1106.0,1110.0,406.3,413.0,67.0,48.0,19
sample,4wave_varlen,36,187.805,152.570,152.570,1110.4,1110.0,1111.0,407.3,413.0,67.0,48.0,18
sample,4wave_varlen,37,187.877,152.512,152.512,1110.2,1110.0,1111.0,407.7,412.0,67.0,48.0,18
sample,4wave_varlen,38,187.814,152.562,152.562,1110.6,1110.0,1111.0,407.7,414.0,67.0,48.0,19
sample,4wave_varlen,39,187.880,152.509,152.509,1111.0,1111.0,1111.0,407.3,413.0,67.0,48.0,18
sample,4wave_varlen,40,187.797,152.576,152.576,1111.0,1111.0,1111.0,407.1,412.0,67.0,48.0,18
sample,4wave_varlen,41,187.790,152.582,152.582,1111.0,1111.0,1111.0,407.0,412.0,67.0,48.0,19
sample,4wave_varlen,42,187.776,152.593,152.593,1111.0,1111.0,1111.0,407.9,415.0,67.0,48.0,18
sample,4wave_varlen,43,187.794,152.579,152.579,1111.0,1111.0,1111.0,408.8,415.0,67.0,48.0,18
sample,4wave_varlen,44,191.098,149.941,149.941,1101.2,1089.0,1111.0,405.4,412.0,67.0,48.0,19
sample,4wave_varlen,45,188.175,152.270,152.270,1109.0,1107.0,1110.0,406.8,413.0,67.0,48.0,18
sample,4wave_varlen,46,187.817,152.560,152.560,1110.2,1110.0,1111.0,406.8,410.0,67.0,48.0,18
sample,4wave_varlen,47,187.735,152.626,152.626,1111.0,1111.0,1111.0,407.4,414.0,67.0,48.0,19
sample,4wave_varlen,48,187.773,152.596,152.596,1111.0,1111.0,1111.0,409.1,415.0,67.0,48.0,18
sample,4wave_varlen,49,187.840,152.542,152.542,1111.0,1111.0,1111.0,408.6,413.0,67.0,48.0,18
sample,4wave_varlen,50,187.970,152.436,152.436,1110.8,1110.0,1111.0,407.8,413.0,67.0,48.0,19
sample,4wave_varlen,51,187.837,152.544,152.544,1110.4,1110.0,1111.0,407.2,412.0,67.0,48.0,18
sample,4wave_varlen,52,187.783,152.588,152.588,1111.0,1111.0,1111.0,407.2,413.0,67.0,48.0,18
sample,4wave_varlen,53,187.850,152.533,152.533,1111.0,1111.0,1111.0,409.1,414.0,67.0,48.0,19
sample,4wave_varlen,54,187.848,152.535,152.535,1110.7,1110.0,1111.0,408.7,414.0,67.0,48.0,18
sample,4wave_varlen,55,191.273,149.804,149.804,1110.1,1110.0,1111.0,408.7,414.0,67.0,48.0,18
sample,4wave_varlen,56,188.312,152.159,152.159,1100.1,1088.0,1107.0,405.4,414.0,67.0,48.0,19
sample,4wave_varlen,57,187.852,152.532,152.532,1109.1,1107.0,1110.0,408.3,414.0,67.0,48.0,18
sample,4wave_varlen,58,187.813,152.563,152.563,1110.0,1110.0,1110.0,408.0,413.0,67.0,49.0,18
sample,4wave_varlen,59,187.812,152.564,152.564,1110.4,1110.0,1111.0,407.9,414.0,67.0,49.0,19
sample,4wave_varlen,60,187.826,152.553,152.553,1111.0,1111.0,1111.0,407.8,413.0,67.0,49.0,18
